¿Cuándo cayó el Muro de Berlin?;1989;1988;1987;1990;1
¿Cuándo se vio por última vez a Hitler?;20 de mayo de 1945;21 de abril de 1944;21 de mayo de 1944;20 de abril de 1945;4
¿Cuál es la rama mayoritaria del Islam?;Chiismo;Sunismo;Jariyismo;Sufismo;2
¿De qué fue ministro Manuel Fraga durante el franquismo?;De Interior;De Economía;De Información y Turismo;Del Ejercito;3
¿En qué año tuvo lugar el ataque a Pearl Harbor?;1939;1940;1941;1942;3
¿Las revueltas de donde son llamadas Intifadas?;Montenegro;Kosovo;Palestina;Chechenia;3
¿Quiénes fueron los sans-culottes de la Revolución Francesa?;La burguesía durante la Revolución;La principal masa social revolucionaria;El nombre despectivo de los burgueses;Ninguna es correcta;2
¿Dónde murió Juana de Arco?;Lorena;Burdeos;Orleans;España;3
¿Cuándo Comenzó la guerra Irano-Iraqui?;1999;1976;1982;1980;4
¿Cuándo comienza la historia?;Con el primer hombre;con la invención de la escritura;Con la primera Glaciación;Con las primeras civilizaciones;2
¿Dónde murió Cristobal Colón?;Génova;Bruselas;Venecia;Valladolid;4
¿En qué año comenzó la Revolución Francesa?;1492;1788;1789;1800;3
¿Qué es un Zigurat?;Un templo Egipcio;Un templo Mesopotámico;Un templo Griego;Un templo Vikingo;2
¿En qué estado mexicano nació Pancho Villa?;Chiapas;Morelos;Jalisco;Durango;4
¿Quién sabía que no sabía nada?;Aristoteles;Ortega y Gasset;Sócrates;Einsteins;1
¿Quién es el autor del Gaucho Martín Fierro?;Martín Fierro;José Hernández;El autor es anónimo;Ninguna opción;2
¿A qué Ciudad-Estado pertenecía la localidad natal de Leonardo Da Vinci?;A Venecia;A Florencia;A Milán;Roma;1
¿Quién es la madre de los dioses según la mitología egipcia?;Bastet;Isis;Horus;Freya;2
¿Qué relación tenían Osiris e Isis?;Cónyuge;Hermanos;Ambas;Ninguna;3
¿Qué tipo de mitología habla acerca de Heimdall?;Griega;Egipcia;Nórdica;China;3
¿Qué significa la palabra Ragnarök?;Fin del mundo;Ocaso de los Dioses;Destino de los Dioses;Batalla del Fin;3
¿Qué artefacto tenía Hades que le permitió, junto con sus hermanos, derrotar a Cronos?;Un casco de invisibilidad;Una espada de fuego;Un escudo de almas;Un carro de luz;1
¿En qué animal se transformó Zeus para seducir a Leda?;Cisne;Toro;Tigre;Gato;1
¿Cómo se llamaba la espada de Rodrigo Díaz, el Cid Campeador?;Excalibur;Tizona;Tise;Mormona;2
¿Cómo se llamaba el padre del Rey Arturo?;Merlín;Lanzarote;Pendragón;Artur;3
¿Qué poder poseía la vaina de Excalibur?;No dejaba que el portador derramara sangre;Invocaba un dragón;Despedía luz;Aullaba para asustar a los enemigos;1
¿De qué dios de la mitología griega era hijo el cíclope Polifemo?;Zeus;Ares;Apolo;Poseidón;4
¿Cuá es la cantidad de países en américa del sur?;21;12;15;18;2
¿Donde se encuentras los Alpes?;Europa Central;Europa Norte;Europa Este;Europa Sur;1
¿Cual es la longitud del rio Nilo?;6.583;6.835;6.853;6.358;3
¿Cual es el país menos turístico de Europa?;Armenia;Moldavia;Liechtenstein;Hungría;3
¿A que país pertenece la isla de Tasmania?;Estados Unidos;Australia;Portugal;Ninguna es correcta;2
¿En cuál de los siguientes países NO hay ningún desierto?;España;Chile;Mongolia;Alemania;4
¿Cuál es el codigo internacional para Cuba?;CA;CU;CB;Ninguna es correcta;2
¿Cuál es la capital de Bélgica?;Moscú;Varsovia;Casablanca;Bruselas;4
¿Cuál es la segunda montaña más alta del mundo?;Everest;Aconcagua;Monte Fuji;Kilimanjaro;2
¿Dónde está ubicado el Taj Mahal?;India;Malasia;Bangladesh;Nepal;1
¿Cuál es la capital de Nepal?;Katmandu;Mandila;Buda Town;Ulan Bator;1
¿A que país pertenece la isla Tazmania?;Francia;Inglaterra;China;Australia;4
¿Qué país no comparte frontera con Francia?;España;Alemania;Holanda;Suiza;3
¿Entre que países se ubica el estrecho de Bering?;EEUU y Rusia;Finlandia y Suecia;España y Marruecos;Francia e Inglaterra;1
¿Cual es el segundo rio más largo del mundo?;Paraná;Nilo;Amazonas;Mississipi;2
¿Cómo se llama el protagonista de la saga God of War?;Zeus;Kratos;Spartan;Ares;2
¿Cuál es la planta que da soles en el Planta VS Zombies?;Girasol;Lanza habichuelas;Nuez;Cactus;1
¿Cómo se llama el juego donde lanzas pajaros con una honda?;Explosion Birds;Flappy Birds;Angry Birds;Throwing Birds;3
¿Cuál es el MOBA con más jugadores?;Dota;Smite;Heroes of the Storm;League of Legend;4
¿Cuál es el nombre del juego de carreras callejeras?;Dirt;Need for Speed;Collin Mc Rally;Gran Turismo;2
¿En la serie Uncharted quien es el mentor de Nathan Drake?;Elena Fisher;Victor Sullivan;Chloe Frazer;Charlie Cutter;2
¿Cuál es el último Mortal kombat que salio?;Mortal Kombat 9;Mortal Kombat 10;Mortal Kombat XL;Mortal Kombat X;3
¿Cuál es el pajaro que atraviesa madera en Angry Birds?;Amarillo;Rojo;Azul;Negro;1
¿De qué empresa es la serie Dragon Age?;Blizzard;Naughty Dog;BioWare;Epic Games;3
¿Cuál es el arma insignia de los asesinos en el Assassins's Creed?;Dagas ocultas;Dardos berserker;Espada templaria;Manzana del eden;1
¿Cuál es el juego que más ingresos le da a Ubisoft?;Assassin's Creed;Watchdogs;Far Cry;Just Dance;4
¿Cómo se llama el protagonista de la saga Dead Space?;Isaac Clarke;Norman Clarke;Charles Clarke;Ian Clarke;1;
¿Que juego no es de la empresa Supercell?;Clash of Clans;Boom Beach;Clash Royale;Clash Empire;4
¿Cual es la consola de la empresa Sony?;Xbox One;Wii U;Playstation 4;OUYA;3
¿Cuantos juegos de la saga Far Cry hay?;3;5;4;2;2
¿Que personaje usa un traje rojo y es ciego?;Deadpool;Daredevil;Scarlet Witch;Spiderman;2
¿Que personaje no tiene un factor regenerativo?;Wolverine;X-23;Deadpool;Ironman;4
¿Cual es la habilidad del doctor Richard en los 4 fantásticos?;Elasticidad;Súper inteligencia;invisibilidad;Súper fuerza;1
¿Como vence Iron man a Hulk en Avengers: Age of Ultron?;Misiles de adamantium;Shocks eléctricos;Un súper traje;Con un chiste;3
¿Cual es el nombre real de Punisher?;Wade Wilson;Steve Rogers;Frank Castle;Miranda Mina;3
¿Cual es la causa del cuerpo desfigurado de Deadpool?;Fuego;Cáncer;Acido;Químicos;2
¿Cual es el arma insignia del Capitán América?;Un escudo;Un traje;Espadas;Cadenas;1
¿De que raza es la esposa de Deadpool?;Alien;Demonio;Vampiro;Ser cósmico;2
¿Quien es el creador del universo Marvel?;Dereck Dickson;Tony Stark;Frank Miller;Stan Lee;4
¿Cuál es el villano principal de los 4 fantásticos?;T-Rex;Kingpin;Doctor Doom;Venom;3
¿Cual no es un villano de Spiderman?;CrossBones;Venom;Carnage;Green Goblin;1
¿De que están hechas las garras de Wolverine?;Vibranium;Diamante;Titanio;Adamantium;4
¿A quien trata de salvar el Capitán América en Civil War?;Ironman;Daredevil;Bucky;Visión;3
¿Como se llama el hijo de Ciclope?;Christian Summers;Nathan Summers;Wade Summers;Scott Summers;2
¿Cuántas gemas del infinito hay?;6;5;7;4;1
¿Qué princesa es la que gobierna el día?;Twiligh Sparkle;Luna;Celestia;Cadence;3
¿Cuál de las mane 6 tiene diamantes como Cutie Mark?;Rarity;Fluttershy;Rainbow Dash;Pinki Pie;1
¿Cuántos elementos de la Armonía hay?;4;7;5;6;4
¿Qué villano ataco Canterlot con un ejército?;King Sombra;Chrysalis;Tirek;Discord;2
¿A quien le salva el pie de manzana Rainbow Dash?;Spitfire;Applejack;Soarin;Fleetfoot;3
¿Qué raza de pony es la que maneja el clima?;Tierra;Unicornios;Pegasos;Alicornios;3
¿Cuántos años estuvo escondido el Imperio de Cristal?;1000;2000;500;5000;1
¿Cómo es que Twilight se vuelve una alicornio?;Salvando el reino;Resolviendo un hechizo;casándose con un príncipe;Ayudando a sus amigas;2
¿Cómo descubren cual es la Pinkie Pie original entre todos sus clones?;Contando un chiste;Haciendo preguntas que solo Pinkie puede responder;Con una fiesta;Viendo pintura secarse en un pared;4
¿Qué villano es reformado por Fluttershy?;Tirek;Nighmare Moon;La poderosa e increible Trixie;Discord;4
¿Cómo es que Tirek consigue sus poderes?;Absorviendo la energia del arbol de la armonía;Absorviendo la magia de los ponies;Utilizando el collar del Caos;Absorviendo el poder del inframundo;2
¿Cómo se llama la princesa del amor?;Celestia;Twilight Sparkle;Cadance;Luna;3
¿Cuantas temporadas de My Little Pony Friendship is Magic hay?;4;6;5;7;2
¿Quién es el elemento de la risa?;Pinkie Pie;Fluttershy;Rainbow Dash;Rarity;1
¿Cuántos años encerró Celestia a su hermana en la luna?;500;2000;1000;1500;3
